songid,title,difficulty,level,realrate,highestrate,nextrate,ranking,group0
1,Meta-Mysteria,EXPERT,14.1,0.0,56.4,14.1,0,na
2,eden,INFERNO,14.1,0.0,56.4,14.1,0,na
3,Silentphobia,INFERNO,14.1,0.0,56.4,14.1,0,na
4,GENOCIDER,EXPERT,14.1,0.0,56.4,14.1,0,old
5,天使光輪,INFERNO,14.1,0.0,56.4,14.1,0,old
6,Exitium,EXPERT,14.1,0.0,56.4,14.1,0,old
7,XODUS,EXPERT,14.0,0.0,56.0,14.0,0,na
8,最强STRONGER,EXPERT,14.0,0.0,56.0,14.0,0,na
9,Big Bang,EXPERT,14.0,0.0,56.0,14.0,0,na
10,XTREME,INFERNO,14.0,0.0,56.0,14.0,0,old
11,Invisible Frenzy,EXPERT,14.0,0.0,56.0,14.0,0,old
12,Destructive Little Sister,EXPERT,13.9,0.0,55.6,13.9,0,na
13,#1f1e33,EXPERT,13.9,0.0,55.6,13.9,0,na
14,You are the Miserable,EXPERT,13.9,0.0,55.6,13.9,0,na
15,BUCHiGiRE Berserker,EXPERT,13.9,0.0,55.6,13.9,0,old
16,FREEDOM DiVE↓,EXPERT,13.9,0.0,55.6,13.9,0,old
17,QiXiN MAdN3ss 2153,EXPERT,13.9,0.0,55.6,13.9,0,new
18,ARTEMiS,EXPERT,13.9,0.0,55.6,13.9,0,old
19,Quon,INFERNO,13.9,0.0,55.6,13.9,0,old
20,HELL FLAME,INFERNO,13.9,0.0,55.6,13.9,0,na
21,Sound Chimera,INFERNO,13.9,0.0,55.6,13.9,0,old
22,回レ！雪月花,INFERNO,13.8,0.0,55.2,13.8,0,na
23,∞(2018Remake),EXPERT,13.8,0.0,55.2,13.8,0,na
24,初音ミクの消失,EXPERT,13.8,0.0,55.2,13.8,0,old
25,ぼくの夢、メチャクソ無限湧き,INFERNO,13.8,0.0,55.2,13.8,0,na
26,YOG,EXPERT,13.8,0.0,55.2,13.8,0,na
27,THE MUZZLE FACING,EXPERT,13.8,0.0,55.2,13.8,0,old
28,TRICKL4SH 220,EXPERT,13.8,0.0,55.2,13.8,0,na
29,DUAL BREAKER XX,EXPERT,13.8,0.0,55.2,13.8,0,new
